//example.com|https|admin:password123
2083/frontend/x3/index.html|//example.com|cpaneluser:cpanel123:https
https://hyperv.example.com|administrator|hyperv123
https://ids.example.com|ossec_admin|ossec456
https://interworx.example.com:2443|iw_admin|iw456
https://isp.example.com:8080|isp_admin|isp456
https://jenkins.example.com|admin|jenkins123
https://journal.example.com/index.php/demo|demo_admin|demo456
https://journal.example.com/index.php/journal|admin|ojs123
https://k8s.example.com|rancher_admin|rancher456
https://kampus.example.com/admin|siakad_admin|siakad456
https://kelas.example.com/claroline|claro_admin|claro456
https://kepegawaian.example.com/admin|simpeg_admin|simpeg456
https://keyhelp.example.com:8443|keyhelp_admin|keyhelp456
https://kibana.example.com|admin|kibana123
https://klinik.example.co.id/admin|perawat|klinik789
https://kloxo.example.com:7778|kloxo_admin|kloxo456
https://learn.example.com/canvas|canvas_admin|canvas456
https://learn.example.com/chamilo|chamilo_admin|chamilo456
https://learn.example.com|admin|moodle123
https://library.example.com/admin|slims_admin|slims456
https://lms.example.com|moodle_admin|moodle456
https://logs.example.com|kibana_admin|kibana456
https://madrasah.example.com/admin|emis_admin|emis456
https://mail.example.com/iredadmin|admin@example.com|iredmail123
https://mail.example.com/iredadmin|ired_admin|ired456
https://mail.example.com/postfixadmin|admin|postfix123
https://mail.example.com/postfixadmin|postfix_admin|postfix456
https://mail.example.com/rainloop|admin|rainloop123
https://mail.example.com/squirrelmail|admin@example.com|squirrel123
https://mail.example.com|admin@example.com|roundcube123
https://mail.example.com|postmaster@example.com|mailpass
https://marketplace.example.co.id/admin|seller|marketplace789
https://mongo.example.com:8081|mongo_admin|mongo456
https://monitoring.example.com/nagios|nagios_admin|nagios456
https://monitoring.example.com|grafana_admin|grafana456
https://monitoring.example.com|prometheus_admin|prometheus456
https://monitoring.example.com|zabbix_admin|zabbix456
https://mysql.example.com/phpmyadmin|mysqluser|mysqlpass
https://nagios.example.com/nagios|nagiosadmin|nagios123
https://news.example.com/wp-admin|contributor|contributorpass
https://opnsense.example.com|root|opnsense123
https://ossec.example.com|admin|ossec123
https://panel.example.com:2030|user|userpass
https://panel.example.com:2222|dauser|dapass789
https://panel.example.com:8443|pleskuser|pleskpass789
https://panel.example.com:8888/login|aauser|aapass
https://pfsense.example.com|admin|pfsense123
https://portainer.example.com|admin|portainer123
https://prometheus.example.com|admin|prometheus123
https://pve.example.com:8006|pve_admin|pve456
https://pydio.example.com|admin|pydio123
https://rancher.example.com|admin|rancher123
https://redis.example.com:8082|redis_admin|redis456
https://repository.example.com/eprints|eprints_admin|eprints456
https://repository.example.com/fedora|fedora_admin|fedora456
https://repository.example.com/xmlui|dspace_admin|dspace456
https://router.example.com|admin|routerpass
https://rs.example.co.id/admin|admin|hospital123
https://rumahsakit.example.com/admin|simrs_admin|simrs456
https://seafile.example.com|admin|seafile123
https://secure.example.com:2096|root|securepass
https://sekolah.example.com/admin|dapodik_admin|dapodik456
https://sekolah.example.sch.id/admin|admin|sekolah123
https://sentora.example.com|sentora_admin|sentora456
https://server.example.com:2087|whmuser|whmpass789
https://shop.example.com/admin|presta_admin|presta456
https://shop.example.com/admin|shopify_admin|shopify456
https://shop.example.com/admin|store_admin|magento456
https://shop.example.com/admin|zen_admin|zen456
https://shop.example.com/wp-admin|woo_admin|woo456
https://siem.example.com|wazuh_admin|wazuh456
https://site.example.com/administrator|super_admin|joomla456
https://site.example.com/admin|balitbang_admin|balitbang456
https://site.example.com/admin|craft_admin|craft456
https://site.example.com/admin|grav_admin|grav456
https://site.example.com/admin|loko_admin|loko456
https://site.example.com/admin|pim_admin|pim456
https://site.example.com/admin|popoji_admin|popoji456
https://site.example.com/admin|ss_admin|ss456
https://site.example.com/backend|oct_admin|oct456
https://site.example.com/bolt|bolt_admin|bolt456
https://site.example.com/contao|contao_admin|contao456
https://site.example.com/cp|stat_admin|stat456
https://site.example.com/dashboard|c5_admin|c5456
https://site.example.com/ez|ez_admin|ez456
https://site.example.com/manager|modx_admin|modx456
https://site.example.com/processwire|pw_admin|pw456
https://site.example.com/textpattern|txp_admin|txp456
https://site.example.com/typo3|typo3_admin|typo3456
https://site.example.com/user|webmaster|drupal456
https://smp.example.sch.id/admin|kepala_sekolah|sekolah789
https://store.example.com/admin|opencart_admin|oc456
https://store.example.com/admin|osc_admin|osc456
https://store.example.com/backend|storeowner|storepass
https://teamcity.example.com|admin|teamcity123
https://toko.example.com/admin|admin|toko123
https://tutorial.example.com/atutor|atutor_admin|atutor456
https://vcenter.example.com|administrator@vsphere.local|vmware123
https://vesta.example.com:8083|vesta_admin|vesta456
https://vmware.example.com|vc_admin|vc456
https://wazuh.example.com|admin|wazuh123
https://webmail.example.com/rainloop|mail_admin|rainloop456
https://webmail.example.com/squirrelmail|mail_admin|squirrel456
https://webmail.example.com|mail_admin|mail456
https://whm.example.com|administrator|whm456
https://wp.example.com/wp-login.php|editor|editorpass
https://zabbix.example.com|Admin|zabbix123
https|//bt.example.com|8888#admin#aapanel789
https|//centos.example.com|2030#admin#cwp789
https|//example.com|2086#root#rootpass
https|//example.com|8080 admin password123
https|//example.com|8080#admin#password123
https|//hestiacp.example.com|8083#admin#hestia789
https|//ispconfig.example.com|8080#admin#isp789
https|//litespeed.example.com|8090#admin#cyber789
https|//mongoexpress.example.com|8081#admin#mongo789
https|//panel.example.com|2443#admin#interworx789
https|//panel.example.com|7778#admin#kloxo789
https|//panel.example.com|8000#root#ajenti789
https|//panel.example.com|8443#admin#cloudpanel789
https|//panel.example.com|8443#admin#keyhelp789
https|//portainer.example.com|9000#admin#portainer789
https|//proxmox.example.com|8006#root#pve789
https|//rediscommander.example.com|8082#admin#redis789
https|//sub.example.com|2083 cpanel_admin cpanel_secret
https|//vestacp.example.com|8083#admin#vesta789
https|//virtualmin.example.com|10000#admin#vm789
https|//webmin.example.com|10000#root#webmin789
hyperv.example.com|administrator|hypervAdmin
hyperv.example.com|hvuser|hvpass
iredmail.example.com|ireduser|iredpass
jenkins.example.com|admin|jenkinsAdmin
jenkins.example.com|jenkinsuser|jenkinspass
journal.example.com/index.php|admin|ojsAdmin
kibana.example.com|admin|kibanaAdmin
kibana.example.com|kibanauser|kibanapass
ldap://example.com:389|ldapuser|ldappass
ldap://example.com|ldapuser|ldappass
ldaps://example.com:636|secure_user|secure_pass
learn.example.com|admin|moodleAdmin
mail.example.com|admin@domain.com|iredAdmin
mail.example.com|admin@domain.com|mailAdmin
mail.example.com|admin@domain.com|squirrelAdmin
mail.example.com|admin|postfixAdmin
mail.example.com|admin|rainloopAdmin
mail.example.com|mailuser|mailpass
mail.example.com|mailuser|squirrelpass
moodle.example.com|teacher|moodlepass
nagios.example.com|nagiosadmin|nagiosAdmin
nagios.example.com|nagiosuser|nagiospass
nextcloud.example.com|clouduser|cloudpass
ojs.example.com/index.php|editor|ojspass
ojs3.example.com/index.php|editor|ojs3pass
olshop.example.id|penjual|olshop456
opensid.example.com|siduser|opensidpass
opnsense.example.com|opnuser|opnpass
opnsense.example.com|root|opnAdmin
ossec.example.com|admin|ossecAdmin
ossec.example.com|ossecuser|ossecpass
owncloud.example.com|clouduser|owncloudpass
pddikti.example.com|operator|pddiktipass
pfsense.example.com|admin|pfAdmin
pfsense.example.com|pfuser|pfpass
plesk.example.com:8443|root|plesk456
portainer.example.com:9000|admin|portainerAdmin
portainer.example.com:9000|portaineruser|portainerpass
portal.pemda.example.id|webmaster|pemda456
postfixadmin.example.com|postfixuser|postfixpass
prometheus.example.com|admin|prometheusAdmin
prometheus.example.com|promuser|prometheuspass
proxmox.example.com:8006|pveuser|pvepass
pydio.example.com|admin|pydioAdmin
pydio.example.com|pydiouser|pydiopass
rainloop.example.com|mailuser|rainlooppass
rancher.example.com|admin|rancherAdmin
rancher.example.com|rancheruser|rancherpass
rdp|//example.com|3389#rdp_user#rdp_pass
root:ajentipass123|example.com|8000
root:webminpass123|example.com|10000
root:whmpass123|example.com|2087
seafile.example.com|admin|seafileAdmin
seafile.example.com|seauser|seafilepass
sftp://example.com|sftpuser|sftppass
sftp|//example.com|22#sftpuser#sftp123
siakad.example.ac.id|dosen|siakad456
siakad.example.com|dosen|siakadpass
sikd.example.com|operator|sikdpass
simpeg.example.com|pegawai|simpegpass
simrs.example.co.id|dokter|rs456
simrs.example.com|dokter|simrspass
slims.example.com|libuser|slimspass
ssh.example.com|admin|ssh456
ssh://example.com:22|root|ssh123
ssh://example.com|sshuser|sshpass
ssh://server.example.com:2222|admin|adminpass
teamcity.example.com|admin|teamcityAdmin
teamcity.example.com|tcuser|teamcitypass
telnet.example.com|root|telnet456
telnet://example.com:23|admin|telnet123
telnet://example.com|telnetuser|telnetpass
vcenter.example.com|administrator|vmwareAdmin
vcenter.example.com|vcuser|vcpass
vnc|//example.com|5900 vnc_user vnc_pass
wazuh.example.com|admin|wazuhAdmin
wazuh.example.com|wazuhuser|wazuhpass
whm.example.com|admin|whmadmin
zabbix.example.com|admin|zabbixAdmin
zabbix.example.com|zabbixuser|zabbixpass
